자전거보관소명,소재지도로명주소,소재지지번주소,보관대수,공기주입기비치여부,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
탄천 커뮤니티복합주거시설,충청남도 공주시 탄천산업단지길 123-22,충청남도 공주시 탄천면 안영리 829,20,N,N,000-000-0000,아파트관리사무소,2020-07-01
효성해링턴 플레이스,충청남도 공주시 관골2길 35,충청남도 공주시 신관동 686,110,Y,N,041-881-9596,아파트관리사무소,2020-07-01
금성백조 예미지,충청남도 공주시 웅진절골3길 38,충청남도 공주시 웅진동 771,90,N,N,041-881-8782,아파트관리사무소,2020-07-01
유구중학교,충청남도 공주시 유구읍 중앙1길 49-10,충청남도 공주시 유구읍 석남리 359,60,N,N,041-840-8507,학교장,2020-07-01
유구터미널,충청남도 공주시 유구읍 유구마곡사로 9,충청남도 공주시 유구읍 석남리 355-13,20,N,N,041-840-8507,공주시장,2020-07-01
한옥마을,충청남도 공주시 관광단지길 12,충청남도 공주시 웅진동 344-38,32,N,N,041-840-8507,공주시장,2020-07-01
공주시보건소,충청남도 공주시 봉황로 125,충청남도 공주시 교동 120,10,N,N,041-840-8507,기관장,2020-07-01
청소년문화센터,충청남도 공주시 대통1길 57,충청남도 공주시 반죽동 218,10,N,N,041-840-8507,기관장,2020-07-01
공주문화원,충청남도 공주시 대통1길 66,충청남도 공주시 반죽동 184-4,8,N,N,041-840-8507,기관장,2020-07-01
대전지방법원공주지원,충청남도 공주시 한적2길 34-15,충청남도 공주시 금흥동 610-1,10,N,N,041-840-8507,기관장,2020-07-01
신관공영주차장,충청남도 공주시,충청남도 공주시 신관동 590-1,10,N,N,041-840-8507,공주시장,2020-07-01
대학로공영주차장,충청남도 공주시,충청남도 공주시 신관동 산25-2,10,N,N,041-840-8507,공주시장,2020-07-01
경복궁웨딩컨벤션홀 건너편,충청남도 공주시 신관로 4-7,충청남도 공주시 신관동 633,10,N,N,041-840-8507,공주시장,2020-07-01
공주농협파머스마켓,충청남도 공주시 번영1로 100,충청남도 공주시 신관동 557,10,N,N,041-840-8507,공주시장,2020-07-01
공산성 횡단보도 옆,충청남도 공주시,충청남도 공주시 금성동 220,10,N,N,041-840-8507,공주시장,2020-07-01
공산성 회전교차로 옆,충청남도 공주시,충청남도 공주시 금성동 207,10,N,N,041-840-8507,공주시장,2020-07-01
종합버스터미널 건너편,충청남도 공주시,충청남도 공주시 신관동 200-2,10,N,N,041-840-8507,공주시장,2020-07-01
웅진동주민센터 옆 공원,충청남도 공주시 백미고을길 9-4,충청남도 공주시 금성동 182-1,5,N,N,041-840-8507,공주시장,2020-07-01
금강교옆 공원,충청남도 공주시,충청남도 공주시 금성동 16-3,10,N,N,041-840-8507,공주시장,2020-07-01
우성면 방문1리 입구,충청남도 공주시 우성면 우성방축골길 73-75,충청남도 공주시 우성면 방문리 952,10,N,N,041-840-8507,공주시장,2020-07-01
노인복지회관,충청남도 공주시 당간지주길 7,충청남도 공주시 반죽동 238-1,10,N,N,041-840-8507,공주시장,2020-07-01
경천중학교,충청남도 공주시 계룡면 어사길 2,충청남도 공주시 계룡면 경천리 423-1,10,N,N,000-000-0000,학교장,2020-07-01
우성중학교,충청남도 공주시 우성면 구레말길 86,충청남도 공주시 우성면 방흥리 20,10,N,N,000-000-0000,학교장,2020-07-01
생명과학고등학교,충청남도 공주시 치미마을길 44,충청남도 공주시 신관동 495-3,10,N,N,000-000-0000,학교장,2020-07-01
금학지구대 뒷편,충청남도 공주시 우금티로 496-3,충청남도 공주시 금학동 357-15,10,N,N,041-840-8507,공주시장,2020-07-01
무안교,충청남도 공주시,충청남도 공주시 금학동 270-26,10,N,N,041-840-8507,공주시장,2020-07-01
코러스마트앞,충청남도 공주시 신관로 73,충청남도 공주시 신관동 633,15,N,N,041-840-8507,공주시장,2020-07-01
교육대학교기숙사(여자),충청남도 공주시 하선길 47,충청남도 공주시 금학동 231-1,20,N,N,000-000-0000,학교장,2020-07-01
산성동 양평해장국 앞 노상,충청남도 공주시 웅진로 221,충청남도 공주시 산성동 170-2,10,N,N,041-840-8507,공주시장,2020-07-01
유구초등학교,충청남도 공주시 유구읍 유구초교길 12,충청남도 공주시 유구읍 석남리 196-1,20,N,N,000-000-0000,학교장,2020-07-01
공주여중학교,충청남도 공주시 용당길 54,충청남도 공주시 교동 3-2,10,N,N,000-000-0000,학교장,2020-07-01
공주고등학교,충청남도 공주시 공주고담길 2,충청남도 공주시 중학동 137-1,30,Y,N,000-000-0000,학교장,2020-07-01
사대부중학교,충청남도 공주시 봉황로 85-21,충청남도 공주시 반죽동 산1-6,10,N,N,000-000-0000,학교장,2020-07-01
봉황중학교,충청남도 공주시 금벽로 301,충청남도 공주시 신관동 528-4,115,N,N,000-000-0000,학교장,2020-07-01
금학초등학교,충청남도 공주시 공주고담길 19,충청남도 공주시 중학동 137-2,24,N,N,000-000-0000,학교장,2020-07-01
교동초등학교,충청남도 공주시 용당길 69-4,충청남도 공주시 교동 199-1,10,N,N,000-000-0000,학교장,2020-07-01
신관초등학교,충청남도 공주시 번영1로 97-13,충청남도 공주시 신관동 304-9,35,N,N,000-000-0000,학교장,2020-07-01
옥룡캠퍼스,충청남도 공주시 우금티로 753,충청남도 공주시 옥룡동 201,30,N,N,000-000-0000,학교장,2020-07-01
공주교육대학교,충청남도 공주시 웅진로 27,충청남도 공주시 봉황동 376-1,40,N,N,000-000-0000,학교장,2020-07-01
공주대학교,충청남도 공주시 공주대학로 56,충청남도 공주시 신관동 182,97,N,N,000-000-0000,학교장,2020-07-01
교대기숙사(남자),충청남도 공주시 일락산1길 2,충청남도 공주시 봉황동 299,15,N,N,000-000-0000,학교장,2020-07-01
공주중학교,충청남도 공주시 왕릉로 111,충청남도 공주시 금성동 85,133,Y,N,000-000-0000,학교장,2020-07-01
대아아이투빌아파트,충청남도 공주시 신금2길 47-1,충청남도 공주시 신관동 5,80,N,N,041-881-0153,아파트관리사무소,2020-07-01
신라아파트,충청남도 공주시 한적1길 8-31,충청남도 공주시 신관동 312-23,40,N,N,041-000-0000,아파트관리사무소,2020-07-01
청룡신한아파트,충청남도 공주시 의당면 연수원길 115-21,충청남도 공주시 의당면 청룡리 640-1,20,N,N,041-852-5996,아파트관리사무소,2020-07-01
"대일맨션(아), 금학",충청남도 공주시 금학동길 40,충청남도 공주시 금학동 244-2,46,N,N,041-853-9240,아파트관리사무소,2020-07-01
경일아파트,충청남도 공주시 웅진절골3길 25,충청남도 공주시 웅진동 산32-10,40,N,N,041-856-3392,아파트관리사무소,2020-07-01
한아름아파트,충청남도 공주시 의당로 3-8,충청남도 공주시 신관동 475-2,19,N,N,041-856-0663,아파트관리사무소,2020-07-01
대동다숲아파트,충청남도 공주시 공주대학로 49-5,충청남도 공주시 신관동 180-5,98,N,N,041-858-0222,아파트관리사무소,2020-07-01
한빛아파트,충청남도 공주시 신금1길 62-15,충청남도 공주시 신관동 280-3,40,N,N,041-856-1824,아파트관리사무소,2020-07-01
삼환아파트,충청남도 공주시 관골1길 31-8,충청남도 공주시 신관동 679,180,N,N,041-854-4700,아파트관리사무소,2020-07-01
주공6차아파트,충청남도 공주시 관골2길 36,충청남도 공주시 신관동 685,48,N,N,041-858-5600,아파트관리사무소,2020-07-01
주공4차아파트,충청남도 공주시 신금2길 48,충청남도 공주시 신관동 19,422,N,N,041-881-7005,아파트관리사무소,2020-07-01
주공3차아파트,충청남도 공주시 신금1길 30-3,충청남도 공주시 신관동 24-64,40,N,N,041-853-3453,아파트관리사무소,2020-07-01
주공2차아파트,충청남도 공주시 신금1길 10,충청남도 공주시 신관동 268-6,90,N,N,041-855-6502,아파트관리사무소,2020-07-01
옥룡주공아파트,충청남도 공주시 옥룡동 123,충청남도 공주시 옥룡동 100-12,40,N,N,041-855-0376,아파트관리사무소,2020-07-01
현대5차아파트,충청남도 공주시 신금2길 17,충청남도 공주시 신관동 668,55,N,N,041-881-1462,아파트관리사무소,2020-07-01
현대3차아파트,충청남도 공주시 신금1길 72,충청남도 공주시 신관동 1-22,159,N,N,041-857-0701,아파트관리사무소,2020-07-01
옥룡 대웅맨션,충청남도 공주시 월성산1길 19-2,충청남도 공주시 옥룡동 56-5,30,N,N,041-852-8161,아파트관리사무소,2020-07-01
시영아파트,충청남도 공주시 백제문화로 2139,충청남도 공주시 웅진동 243,20,N,N,041-856-1536,아파트관리사무소,2020-07-01
대우아파트,충청남도 공주시 무령로 169-5,충청남도 공주시 교동 167-1,20,N,N,041-856-0508,아파트관리사무소,2020-07-01
웅진 삼손빌라,충청남도 공주시 장승배기길 8,충청남도 공주시 웅진동 665,30,N,N,000-000-0000,아파트관리사무소,2020-07-01
청실아파트,충청남도 공주시 백제문화로 2151,충청남도 공주시 웅진동 242-2,68,N,N,041-856-1966,아파트관리사무소,2020-07-01
영우마을아파트,충청남도 공주시 원댕이길 8-10,충청남도 공주시 금학동 75-8,50,N,N,041-858-5511,아파트관리사무소,2020-07-01
"현대1,2차아파트",충청남도 공주시 공주대학로 9,충청남도 공주시 신관동 613-1,60,N,N,041-856-2108,아파트관리사무소,2020-07-01
신관국민은행,충청남도 공주시 번영1로 76,충청남도 공주시 신관동 658,10,N,N,041-840-8507,공주시장,2020-07-01
신관 육교,충청남도 공주시,충청남도 공주시 신관동 462-4,30,N,N,041-840-8507,공주시장,2020-07-01
옥룡 GS마트,충청남도 공주시 무령로 284,충청남도 공주시 옥룡동 422-1,20,Y,N,041-840-8507,공주시장,2020-07-01
삼성생명 앞 노상,충청남도 공주시 웅진로 186,충청남도 공주시 산성동 195,10,N,N,041-840-8507,공주시장,2020-07-01
종합시외버스터미널,충청남도 공주시 신관로 74,충청남도 공주시 신관동 609,30,Y,N,041-840-8507,공주시장,2020-07-01
정연채내과 앞 노상,충청남도 공주시 웅진로 189-1,충청남도 공주시 산성동 195,10,N,N,041-840-8507,공주시장,2020-07-01
공영주차장(옥룡동),충청남도 공주시,충청남도 공주시 옥룡동 297-3,10,N,N,041-840-8507,공주시장,2020-07-01
유구읍 웅진식품 내,충청남도 공주시 유구읍 유구마곡사로 122,충청남도 공주시 유구읍 유구리 688,10,N,N,041-840-8507,공주시장,2020-07-01
장애인 복지센터,충청남도 공주시 의당면 의당로 257,충청남도 공주시 의당면 청룡리 905,6,N,N,041-840-8507,공주시장,2020-07-01
종합사회복지관,충청남도 공주시 의당면 의당로 257,충청남도 공주시 의당면 청룡리 903,10,N,N,041-840-8507,공주시장,2020-07-01
신관동 주민센터,충청남도 공주시 관골1길 24-5,충청남도 공주시 신관동 585-4,10,Y,N,041-840-8507,공주시장,2020-07-01
신풍면사무소,충청남도 공주시 신풍면 안뜸길 14,충청남도 공주시 신풍면 산정리 169,10,N,N,041-840-8507,공주시장,2020-07-01
의당면사무소,충청남도 공주시 의당면 의당전의로 17,충청남도 공주시 의당면 청룡리 661-1,10,N,N,041-840-8507,공주시장,2020-07-01
우성면사무소,충청남도 공주시 우성면 동대3길 25-3,충청남도 공주시 우성면 동대리 418,20,N,N,041-840-8507,공주시장,2020-07-01
유구읍사무소,충청남도 공주시 유구읍 중앙1길 87-1,충청남도 공주시 유구읍 석남리 388-1,20,N,N,041-840-8507,공주시장,2020-07-01
반포면사무소,충청남도 공주시 반포초교길 30,충청남도 공주시 반포면 공암리 375,10,N,N,041-840-8507,공주시장,2020-07-01
계룡면 유평1리 회관옆,충청남도 공주시 계룡면 유평양달길 79,충청남도 공주시 계룡면 유평리 685,26,N,N,041-840-8507,공주시장,2020-07-01
계룡면사무소,충청남도 공주시 계룡면 영규대사로 487,충청남도 공주시 계룡면 월암리 50-8,5,N,N,041-840-8507,공주시장,2020-07-01
금학동 주민센터,충청남도 공주시 우금티로 496-3,충청남도 공주시 금학동 357-15,10,N,N,041-840-8507,공주시장,2020-07-01
백제체육관,충청남도 공주시,충청남도 공주시 웅진동 294,10,N,N,041-840-8507,공주시장,2020-07-01
공주시청,충청남도 공주시 봉황로 1,충청남도 공주시 봉황동 319,80,N,N,041-840-8507,공주시장,2020-07-01
문예회관,충청남도 공주시 고마나루길 5,충청남도 공주시 웅진동 283,20,N,N,041-840-8507,공주시장,2020-07-01
공설운동장,충청남도 공주시 고마나루길 25,충청남도 공주시 웅진동 300-5,10,N,N,041-840-8507,공주시장,2020-07-01
무령왕릉,충청남도 공주시,충청남도 공주시 웅진동 736-25,10,Y,N,041-840-8507,공주시장,2020-07-01
마곡사경내,충청남도 공주시,충청남도 공주시 사곡면 운암리 564-1,20,N,N,041-840-8507,공주시장,2020-07-01
옥룡동 주민센터,충청남도 공주시 무령로 342,충청남도 공주시 옥룡동 32-1,10,N,N,041-840-8507,공주시장,2020-07-01
웅진동 자치센터,충청남도 공주시 용당길 45,충청남도 공주시 웅진동 65-4,20,N,N,041-840-8507,공주시장,2020-07-01
웅진동 주민센터,충청남도 공주시 백미고을길 9-8,충청남도 공주시 웅진동 182-2,10,N,N,041-840-8507,공주시장,2020-07-01
서천읍사무소,충청남도 서천군 서천읍 서천로 92,충청남도 서천군 서천읍 군사리 481-8,7,N,N,041-950-6500,충청남도 서천군청,2024-07-12
맑은물 사업소 옆 공원,충청남도 서천군 서천읍 서문로 38,충청남도 서천군 서천읍 군사리 55-6,28,N,N,041-950-4067,충청남도 서천군청,2024-07-12
화양면 와초리 금강변,,충청남도 서천군 화양면 와초리 456-132,15,N,N,042-670-3214,대전지방국토관리청,2024-07-12
화양면 옥포리 금강변,충청남도 서천군 화양면 옥포길8번길 6,충청남도 서천군 화양면 옥포리 203,8,N,N,042-670-3214,대전지방국토관리청,2024-07-12
판교면민의집,충청남도 서천군 판교면 종판로901번길 14,충청남도 서천군 판교면 현암리 144-1,5,N,N,041-950-6500,서천군 판교면사무소,2024-07-12
(구)서천군청,충청남도 서천군 서천읍 군청로 57,충청남도 서천군 서천읍 군사리 356-3,19,N,N,041-950-4114,서천군 청소년수련관,2024-07-12
휴먼시아아파트,충청남도 서천군 종천면 충서로 302번길88-26,충청남도 서천군 종천면 종천리 37-3,40,N,N,041-952-2827,충청남도 서천군청,2024-07-12
서천군청소년수련관,,충청남도 서천군 장항읍 송림리 762-83,15,N,N,041-950-4114,충청남도 서천군청,2024-07-12
서천군보건소,충청남도 서천군 서천읍 사곡길26,충청남도 서천군 서천읍 군사리 799,7,N,N,041-950-4114,충청남도 서천군청,2024-07-12
송내삼거리 신포마을방향 입구,충청남도 서천군 마서면 신장로 1,,10,N,N,041-950-4114,충청남도 서천군청,2024-07-12
